Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C39","100uF 50V","C_1206_3216Metric",167.000000,-86.600000,90.000000,bottom
"C40","100uF 50V","C_1206_3216Metric",164.500000,-86.600000,90.000000,bottom
"C42","100uF 50V","C_1206_3216Metric",162.000000,-86.600000,90.000000,bottom
"C44","100uF 50V","C_1206_3216Metric",159.500000,-86.600000,90.000000,bottom
"C45","100uF 50V","C_1206_3216Metric",157.000000,-86.600000,90.000000,bottom
"C46","100uF 50V","C_1206_3216Metric",154.500000,-86.600000,90.000000,bottom
"C47","100uF 50V","C_1206_3216Metric",152.000000,-86.600000,90.000000,bottom
"C48","100uF 50V","C_1206_3216Metric",147.400000,-86.700000,90.000000,bottom
"C49","1uF 25V","C_0402_1005Metric",167.500000,-60.750000,180.000000,bottom
"C50","1uF 25V","C_0402_1005Metric",160.500000,-60.750000,180.000000,bottom
"C51","100uF 50V","C_1206_3216Metric",144.900000,-86.700000,90.000000,bottom
"C53","100uF 50V","C_1206_3216Metric",142.400000,-86.700000,90.000000,bottom
"C54","100uF 50V","C_1206_3216Metric",139.900000,-86.700000,90.000000,bottom
"C55","100uF 50V","C_1206_3216Metric",137.400000,-86.700000,90.000000,bottom
"C56","100uF 50V","C_1206_3216Metric",134.900000,-86.700000,90.000000,bottom
"C57","100uF 50V","C_1206_3216Metric",132.400000,-86.700000,90.000000,bottom
"C58","1uF 25V","C_0402_1005Metric",163.450000,-57.500000,90.000000,bottom
"C59","1uF 25V","C_0402_1005Metric",156.550000,-57.450000,270.000000,bottom
"C60","100uF 50V","C_1206_3216Metric",128.200000,-86.700000,90.000000,bottom
"C61","100uF 50V","C_1206_3216Metric",125.700000,-86.700000,90.000000,bottom
"C62","0.1uF 100V","C_0402_1005Metric",164.400000,-57.500000,90.000000,bottom
"C63","0.1uF 100V","C_0402_1005Metric",157.550000,-57.450000,270.000000,bottom
"C64","100uF 50V","C_1206_3216Metric",123.200000,-86.700000,90.000000,bottom
"C65","100uF 50V","C_1206_3216Metric",120.700000,-86.700000,90.000000,bottom
"C66","100uF 50V","C_1206_3216Metric",118.200000,-86.700000,90.000000,bottom
"C67","100uF 50V","C_1206_3216Metric",115.700000,-86.700000,90.000000,bottom
"C68","100uF 50V","C_1206_3216Metric",113.200000,-86.700000,90.000000,bottom
"C69","100uF 50V","C_1206_3216Metric",95.600000,-82.150000,180.000000,bottom
"C70","100uF 50V","C_1206_3216Metric",100.600000,-88.900000,0.000000,bottom
"C71","100uF 50V","C_1206_3216Metric",95.600000,-84.400000,180.000000,bottom
"C73","100uF 50V","C_1206_3216Metric",100.600000,-86.650000,0.000000,bottom
"C74","100uF 50V","C_1206_3216Metric",95.600000,-86.650000,180.000000,bottom
"C75","100uF 50V","C_1206_3216Metric",100.600000,-84.400000,0.000000,bottom
"C76","100uF 50V","C_1206_3216Metric",95.600000,-88.900000,180.000000,bottom
